incorrect	correct
chăngbiết	chẳng biết
dụngtuyệt	dụng tuyệt
hàngnhanh	hàng nhanh
khongthay	không thấy
lượnghàng	lượng hàng
nguoicban	người bán
tieuchuan	tiêu chuẩn
chuanbmuc	chuẩn mực
duyendang	duyên dáng
ratvtuyet	rất tuyệt
tinhnnang	tính năng
tiyetnvoi	tuyệt vời
tiêudungf	tiêu dùng
tuyệttftt	tuyệt
tốntieefn	tốn tiền
khó triệu	khó chịu
thực hiẹn	thực hiện
tien dung	tiện dụng
phien ban	phiên bản
cai thien	cải thiện
ưnga dụng	ứng dụng
coảng cáo	quảng cáo
cuảng cáo	quảng cáo
qurng cáo	quảng cáo
quảng cai	quảng cáo
quảng cao	quảng cáo
quảng cào	quảng cáo
quảng cái	quảng cáo
quảng cáp	quảng cáo
quảng cáu	quảng cáo
quảng câo	quảng cáo
quảng cảo	quảng cáo
quảng váo	quảng cáo
thất vộng	thất vọng
đơmn giản	đơn giản
ứmng dụng	ứng dụng
ưbgs dụng	ứng dụng
hong kong	hồng kông
ướng dụng	ứng dụng
đàng hoàn	đàng hoàng
ung dung	ứng dụng
dat hang	đặt hàng
lua chon	lựa chọn
ban hang	bạn hàng
san pham	sản phẩm
rat thit	rất thích
cham soc	chăm sóc
sản phầm	sản phẩm
phầm mềm	phần mềm
phan mem	phần mềm
quản cáo	quảng cáo
phan hôi	phản hồi
úng dụng	ứng dụng
mua hang	mua hàng
giam gia	giảm giá
chan qua	chán quá
lien ket	liên kết
tuc chet	tức chết
quãn cáo	quảng cáo
cặp nhất	cập nhật
đặc hàng	đặt hàng
cuc phan	cục phân
quan cao	quan cáo
ton tien	tốn tiền
giất ngủ	giấc ngủ
hên xuôi	hên xui
hai lòng	hài lòng
phan hoi	phản hồi
ung dụng	ứng dụng
cung cap	cung cấp
tang gia	tăng giá
cham hon	chậm hơn
tín năng	tính năng
tien ích	tiện ích
phan hồi	phản hồi
thap hon	thấp hơn
tien hon	tiện hơn
cung dep	cũng đẹp
ứng dung	ứng dụng
cung nhu	cũng như
tiep tuc	tiếp tục
hai long	hài lòng
rút cuộc	rốt cuộc
tu nhien	tự nhiên
tiên ích	tiện ích
tam thoi	tạm thời
tien lam	tiện lắm
ngon lam	ngon lắm
tiep tục	tiếp tục
bất tien	bất tiện
tien loi	tiện lợi
đơn hang	đơn hàng
don hang	đơn hàng
kiem tra	kiểm tra
nhu minh	như mình
mat cong	mất công
đon hang	đơn hàng
hang hoa	hàng hóa
canh bao	cảnh báo
cua hang	cửa hàng
cam thay	cảm thấy
buc minh	bực mình
chuabiet	chưa biết
chuahieu	chưa hiểu
cóthgian	có thời gian
cũngtamj	cũng tạm
cũngtiện	cũng tiện
cảmnthấy	cảm thấy
dethuong	dễ thương
giaohàng	giao hàng
hàngchất	hàng chất
hàngđược	hàng được
khiệunai	khiếu nại
khongcho	không cho
khongtot	không tốt
làlừađảo	là lừa đảo
mấythằng	mấy thằng
ngườimua	người mua
nhânviên	nhân viên
quảngcáo	quảng cáo
ratthich	rất thích
rấtnhanh	rất nhanh
rấtnhiều	rất nhiều
rấtthích	rất thích
rấttuyet	rất tuyệt
saokhông	sao không
sinhnhat	sinh nhật
thuậnlợi	thuận lợi
thíchapp	thích app
thíchcác	thích các
thíchmua	thích mua
thôngbáo	thông báo
thấtvong	thất vọng
thểtránh	thể tránh
thờigian	thời gian
tinquảng	tin quảng
tiệndung	tiện dụng
tiệnnlơi	tiện lợi
trướckhi	trước khi
tuyênvoi	tuyệt vời
tuyệttyy	tuyệt
tuyệtvoi	tuyệt vời
tuyệtvơi	tuyệt vời
tuyệtvời	tuyệt vời
tôiquyết	tôi quyết
tùyngười	tùy người
tốtnhưng	tốt nhưng
vàonhưng	vào nhưng
xấunhưng	xấu nhưng
đmshopee	địt mẹ shopee
đúnghàng	đúng hàng
đượcnhưg	được nhưng
zựtcôhôn	zựt cô hồn
thanhhóa	thanh hóa
thongtin	thông tin
thêmđiều	thêm điều
thìkhoản	thì khoản
thôithôi	thôi thôi
thấygian	thấy gian
ứngdungj	ứng dụng
tuyenvoi	tuyệt vời
tuyetvoi	tuyệt vời
tuyetzoi	tuyệt vời
ratchuan	rất chuẩn
ungvdung	ứng dụng
tudangky	tự đăng ký
tuoisang	tươi sáng
tthuaanj	thuận
trongkhi	trong khi
trangjav	trang jav
trangsex	trang sex
cungduoc	cũng được
dangnhap	đăng nhập
ditconme	địt con mẹ
ditcumay	địt cụ mày
ditmemay	địt mẹ mày
dittmmee	địt mẹ
hàinlong	hài lòng
khonghay	không hay
moinguoi	mọi người
muoonmua	muốn mua
nguoiyeu	người yêu
nhungbma	nhưng mà
okrattot	ok rất tốt
ratctien	rất tiện
râtthich	rất thích
saokovao	sao không vào
sửndungj	sử dụng
tiendung	tiện dụng
tietkiem	tiết kiệm
timbkiem	tìm kiếm
toithich	tôi thích
totchuan	tốt chuẩn
sát minh	xác minh
huu hieu	hữu hiệu
huu dung	hữu dụng
huu ichh	hữu ích
ung dumg	ứng dụng
tien dug	tiện dụng
thiet bi	thiết bị
hưu hieu	hữu hiệu
hưu dung	hưu dung
hưu ichh	hữu ích
tich cuc	tích cực
tieu cuc	tiêu cực
tien ich	tiện ích
suy nghi	suy nghĩ
ứbg dụng	ứng dụng
huu inch	hữu ích
ừng dụng	ứng dụng
ững dụng	ứng dụng
bất mãng	bất mãn
bất mảng	bất mãn
hoàn hão	hoàn hảo
hửu dụng	hữu dụng
hữa dụng	hữu dụng
nhậy cảm	nhạy cảm
đon giản	đơn giản
đơn giãn	đơn giản
ựng dụng	ứng dụng
don giản	đơn giản
teencode	tin cốt
highland	hai lừn
điiiiiii	đi
u hai ba	u23
muon hủy	muốn hủy
quan cáo	quảng cáo
tréo mảy	treo máy
lazzada	lazada
feeship	free ship
youtobe	youtube
sphopee	shopee
shipber	shipper
shopbee	shopee
shooppe	shopee
lazadaa	lazada
shopeee	shopee
iphonee	iphone
trading	trading
shoppee	shopee
tại sau	tại sao
da dang	đa dạng
hap dan	hấp dẫn
de dang	dễ dàng
dia chi	địa chỉ
bao dam	bảo đảm
doi tra	dối trá
lua đao	lừa đảo
phuc vu	phục vụ
ket noi	kết nối
ung dug	ứng dụng
shoopee	shopee
mua sam	mua sắm
tan noi	tận nơi
mog mõi	mong mỏi
shop ee	shopee
lưa đao	lừa đảo
lua dao	lừa đảo
tao lao	tào lao
su dung	sử dụng
tao lau	tao lao
tau lau	tao lao
hay đay	hay đấy
uy tính	uy tín
dang ky	đăng ký
met moi	mệt mỏi
doi khi	đôi khi
bien di	biến đi
mổi mòn	mỏi mòn
thất ra	thật ra
bân rôn	bận rộn
mắt mệt	mắc mệt
tốt hon	tốt hơn
mac hon	mắc hơn
quy tín	uy tín
con cat	con cặc
công ti	công ty
rõ rành	rõ ràng
qui tín	uy tín
nhu cuc	như cức
cung ok	cũng ok
qua lâu	quá lây
huu ích	hữu ích
nhu lol	như lồn
bất xúc	bức xúc
cuc sac	cục sạc
te that	tệ thật
uy tinh	uy tín
thuc te	thực tế
thay rẻ	thấy rẻ
kinh te	kinh tế
tinh te	tinh tế
tin cay	tin cậy
that su	thật sự
lien he	liên hệ
rắt rối	rắc rối
ai biet	ai biết
ai biét	ai biết
ai biêt	ai biết
rấttiện	rất tiện
ratxtot	rất tốt
ratthik	rất thích
rấtbhay	rất hay
xuâtsac	xuất sắc
xamloll	xàm lồn
huu ich	hữu ích
huu ivh	hữu ích
hưu ich	hữu ích
hưu ivh	hữu ích
gia soc	giá sốc
yen tam	yên tâm
ứngdung	ứng dụng
ứngdụng	ứng dụng
appmượt	app mượt
p triển	phát triển
xhopbee	shopee
vùalòng	vừa lòng
vọngtôi	vọng tôi
vọngkhi	vọng khi
trugtâm	trung tâm
tốcvcáo	tố cáo
cong ty	công ty
hữ dụng	hữu dụng
tốtnhất	tốt nhất
am binh	âm binh
ừn dụng	ứng dụng
ức dụng	ứng dụng
bthường	bình thường
dthương	dễ thương
nhiềuuu	nhiều
bthuong	bình thường
ấn dụng	ứng dụng
hang rẻ	hàng rẻ
zalada	lazada
thichs	thích
ladaza	lazada
shoppy	shopee
lazađa	lazada
lazala	lazada
ctrinh	chương trình
lazara	lazada
larada	lazada
soppee	shopee
quoảng	quảng
phopee	shopee
nchung	nói chung
lâzada	lazada
lasada	lazada
coment	comment
thgian	thời gian
lazâda	lazada
lazaza	lazada
nhueng	nhưng
shendo	sendo
ngkhac	người khác
thíchh	thích
shiper	shipper
shoppi	shopee
như cc	như con cặc
tp hcm	thành phố hồ chí minh
vocher	voucher
shoppe	shopee
vo van	vớ vẩn
ug dug	ứng dụng
shoope	shopee
khongg	không
chuyễn	chuyển
bị lưa	bị lừa
lam an	làm ăn
bo het	bỏ hết
cat co	cắt cổ
ep gia	ép giá
sen do	sendo
sen đỏ	sendo
dit me	địt mẹ
uc chế	ức chế
re hon	rẻ hơn
cam on	cảm ơn
ủy tín	uy tín
nhu cc	như con cặc
tha ho	tha hồ
hop ly	hợp lý
uy tin	uy tín
rat te	rất tệ
rất te	rất tệ
qua te	quá tệ
te hai	tệ hại
toi te	tồi tệ
bo lao	bố láo
quá te	quá tệ
te lắm	tệ lắm
thu vi	thú vị
Khoonh	không
hữu ít	hữu ích
khiong	không
ai bit	ai biết
ai biê	ai biết
shpoee	shopee
co the	có thể
tkhoan	tài khoản
chủaan	chuẩn
zaxada	lazada
ngonvl	ngon vãi lồn
ráttot	rất tốt
ratoke	rất được
rathay	rất hay
yeucau	yêu cầu
yêntam	yên tâm
xhopee	shopee
xamloz	xàm lồn
xamlon	xàm lồn
huu it	hữu ích
hưu it	hưu ích
ưu dai	uư đãi
uu dai	ưu đãi
uu đai	ưu đãi
toi uu	tối ưu
van de	vấn đề
huu ic	hữu ích
vnpots	vnpost
vnpost	vnpost
tuyett	tuyệt
tuyêtn	tuyệt
tuyêtk	tuyệt
tuyêtj	tuyệt
tuyetj	tuyệt
tuyêtf	tuyệt
tuyeta	tuyệt
yêucầu	yêu cầu
xinloi	xin lỗi
xemxet	xem xét
tuicòn	tui còn
ttuyệt	tuyệt
tthuận	thuận
tthông	thông
tốtcho	tốt cho
muasắm	mua sắm
sohpee	shopee
soopee	shopee
cam ơn	cám ơn
chuđáo	chu đáo
ung ho	ủng hộ
đỵt cụ	địt cụ
thuơng	thương
hjxhjx	hix hix
bnhiêu	bao nhiêu
ngkhác	người khác
đthoại	điện thoại
qtrọng	quan trọng
đhbkhn	đại học bách khoa hà nội
đhkhtn	đại học khoa học tự nhiên
đthoai	điện thoại
ctrình	chương trình
cũng z	cũng vậy
my fen	my friend
on lai	online
nghành	ngành
concac	con cặc
ưu tín	uy tín
đặc đồ	đặt đồ
phi rẻ	phí rẻ
cunhx	cũng
cguan	chuẩn
sopee	shopee
tgian	thời gian
thick	thích
rrats	rất
shoop	shop
soppe	shopee
thahk	thank
lâzda	lazada
thich	thích
lzada	lazada
shopi	shopee
trloi	trả lời
rieng	riêng
chẵng	chẳng
nhjeu	nhiều
duyet	duyệt
sphẩm	sản phẩm
nhièu	nhiều
chưởi	chửi
nhưnh	nhưng
bnhiu	bao nhiêu
iphon	iphone
thjch	thích
onlne	online
sdung	sử dụng
shppe	shopee
chách	trách
arpay	airpay
soppy	shopee
ngiệm	nghiệm
tưỡng	tưởng
khônh	không
shopy	shopee
thườg	thường
nvien	nhân viên
goole	google
ditme	địt mẹ
ngiem	nghiêm
nhưbg	nhưng
chyển	chuyển
cũngg	cũng
nhứng	nhưng
truoc	trước
delay	hoãn
tphcm	thành phố hồ chí minh
shope	shopee
làada	lazada
shpee	shopee
tuyêt	tuyệt
khong	không
spham	sản phẩm
nhìuk	nhiều
chiệu	chịu
tuyet	tuyệt
biett	biết
shopp	shop
cx dc	cũng được
popup	pop up
senđỏ	sendo
chuan	chuẩn
senđo	sendo
lazda	lazada
sử lí	xử lý
ơ đây	ở đây
gop y	góp ý
coppy	copy
ngòai	ngoài
soppi	shopee
du me	đụ mẹ
di me	đĩ mẹ
đu mẹ	đụ mẹ
q cáo	quảng cáo
vua y	vừa ý
sử lý	xử lý
haoif	hoài
thươg	thương
ngyêu	người yêu
cugok	cũng được
ratte	rất tệ
ratot	rất tốt
tạmđc	tạm được
sướnq	sướng
nhiue	nhiều
ứdụng	ứng dụng
buồii	buồi
zthôi	vậy thôi
zthoi	vậy thôi
xưỡng	xưởng
wuảng	quảng
voeis	với
voeif	với
vnpos	vnpost
apmin	admin
ýthức	ý thức
vthôi	vậy thôi
việcc	việc
vềchi	về chi
vềbên	về bên
tụyêt	tuyệt
tuỵet	tuyệt
tuyẹt	tuyệt
tửong	tưởng
ttrên	trên
ttoàn	toàn
ttiện	tiện
tthất	thất
trướk	trước
goodd	good
ngừoi	người
raats	rất
quịch	quỵt
quỵch	quỵt
tượmg	tượng
nhữnc	những
nhữnh	những
giaob	giao
giaov	giao
ctrai	con trai
trườg	trường
sviên	sinh viên
atrai	anh trai
btrai	bạn trai
lquan	liên quan
ntnao	như thế nào
lquen	làm quen
gđình	gia đinh
csống	cuộc sống
csong	cuộc sống
nkưng	nhưng
khoảg	khoảng
cviec	công việc
hajzz	hai
đkiện	điều kiện
đcsvn	đảng cộng sản việt nam
ltinh	linh tinh
ngyeu	người yêu
snghĩ	suy nghĩ
hphúc	hạnh phúc
thíck	thích
chuện	chuyện
ntnày	như thế này
ctraj	con trai
hixxx	hích
thôii	thôi
hđộng	hành động
nguoi	người
ơiiii	ơi
trieu	triệu
hahah	ha ha
insta	instagram
troai	trai
nguời	người
ngta	người ta
thik	thích
dell	đéo
lozz	lồn
trog	trong
ktra	kiểm tra
thjk	thích
duok	được
nhah	nhanh
đell	đéo
tmđt	thương mại điện tử
hnay	hôm nay
mjnh	mình
ghtk	giao hàng tiết kiệm
nhữg	những
mpvc	miễn phí vận chuyển
tmdt	thương mại điện tử
gjao	giao
cmnd	chứng minh nhân dân
tháy	thấy
shjp	ship
nhju	nhiều
nhưq	nhưng
thah	thanh
trag	trang
mink	mình
kiti	tiki
thôg	thông
luog	luong
khog	không
bjet	biết
chẳg	chẳng
thíc	thích
quảg	quảng
giốg	giống
thag	thang
thoy	thôi
thix	thích
clmm	cái lồn mẹ mày
riếc	riết
bgio	bao giờ
chìu	chiều
sihp	ship
bâyh	bây giờ
phãi	phải
kiễm	kiểm
giog	giống
tưởg	tưởng
trug	trung
hànq	hàng
thàh	thành
quag	quang
thog	thong
tjen	tien
chữi	chửi
qcao	quảng cáo
thík	thích
xomg	xong
đcmm	địt con mẹ mày
đvvc	đơn vị vận chuyển
cskh	chăm sóc khách hàng
ngin	nghìn
thíu	thiếu
ngìn	nghìn
nhặp	nhập
kmai	khuyến mãi
tjnh	tinh
nghj	nghi
dcmm	địt con mẹ mày
clmn	cái lồn mẹ nó
cmnr	con mẹ nó rồi
giởm	dỏm
bthg	bình thường
hjnh	hinh
emil	email
quás	quá
nhìu	nhiều
nhiu	nhiêu
thic	thích
đươc	được
sedo	sendo
lồnz	lồn
lượg	lượng
kứng	cứng
hayy	hay
lagg	lag
thág	tháng
duoc	được
nhug	nhưng
nhưg	nhưng
o ke	ok
laza	lazada
hông	không
đuoc	được
shíp	ship
chúg	chúng
chug	chung
giup	giúp
đuọc	được
tuii	tui
giãm	giảm
huux	hữu
chiu	chịu
đuợc	được
khôg	không
ghet	ghét
điểu	đểu
thít	thích
monh	mong
hoăc	hoặc
riet	riết
tren	trên
khôq	không
chẳn	chẳng
okok	ok
tièn	tiền
rấtt	rất
giất	rất
trậm	chậm
okii	ok
duma	đụ má
shio	ship
nhưn	nhưng
niếu	nếu
ckua	chưa
okey	ok
piết	biết
xuốg	xuống
nhều	nhiều
râtd	rất
tiẹn	tiện
dụnh	dụng
ô kê	ok
quãg	quảng
jong	giống
vaiz	vãi
napj	nạp
rácc	rác
râst	rất
buầi	buồi
buồu	buồi
zuii	vui
zọng	giọng
zống	giống
zòng	dòng
zóng	giống
yyêu	yêu
xuốq	xuống
xưởg	xưởng
xuơg	xương
xuồg	xuồng
xhop	shop
wtam	quan tâm
wjfj	wifi
wjfi	wifi
vnxk	việt nam xuất khấu
ytâm	yên tâm
ycầu	yêu cầu
yêuu	yêu
wánh	quánh
vờii	vời
vớii	với
vơig	vời
vơia	với
vídụ	ví dụ
vậyy	vậy
vâyk	vậy
vâyj	vậy
vâyh	vậy
vânx	vẫn
ứung	ứng
tyệt	tuyệt
tưởq	tưởng
ttới	tới
ttôi	tôi
ttoi	toi
tthứ	thứ
trùg	trùng
tôtd	tốt
sohp	shop
râts	rất
shóp	shop
phaj	phai
rats	rất
thằg	thằng
thẳg	thẳng
thẳn	thẳng
trắg	trắng
tưởn	tưởng
đúmg	đúng
đúnh	đúng
nhữn	những
cgai	con gái
svtn	sinh viên tình nguyện
qtam	quan tâm
qtâm	quan tâm
atsm	ảo tưởng sức mạnh
keke	ce ce
cgái	con gái
nthe	như thế
phòg	phòng
thuj	thôi
nvay	như vậy
lmht	liên minh huyền thoại
đzai	đẹp trai
nthê	như thế
hìhì	hì hì
hihe	hi he
tcảm	tình cảm
ksao	không sao
cmày	chúng mày
tiếg	tiếng
hajz	hai
ngke	nghe
dzậy	dậy
tnào	thế nào
phog	phong
trọg	trọng
nthế	như thế
ngđó	người đó
riêg	riêng
ngag	ngang
hêhê	hê hê
ngốk	ngốc
kqua	kết quả
htrc	hôm trước
buôg	buông
chàg	chàng
chăg	chăng
ngàh	ngành
llac	liên lạc
ngđo	người đó
tyêu	tình yêu
snvv	sinh nhật vui vẻ
tượg	tượng
thjc	thích
cđời	cuộc đời
xloi	xin lỗi
nvậy	như vậy
tlai	tương lai
chta	chúng ta
hiha	hi ha
wtâm	quan tâm
ngía	nghía
nyêu	người yêu
rồii	rồi
mìnk	mình
đjên	điên
bgái	bạn gái
xink	xinh
đhọc	đại học
nógn	nóng
ctác	công tác
nhaa	nha
ơiii	ơi
ngèo	nghèo
baoh	bao giờ
vchg	vãi chưởng
face	facebook
hjhj	hi hi
bsvv	buổi sáng vui vẻ
z là	vậy là
đtqg	đội tuyển quốc gia
hqua	hôm qua
nhoé	nhé
biet	biết
nvqs	nghĩa vụ quân sự
biêt	biết
tgdd	thế giới di động
thpt	trung học phổ thông
thým	thím
cmnl	con mẹ nó luôn
ctkm	chương trình khuyến mãi
sip	ship
đkm	địt con mẹ
đcm	địt con mẹ
sop	shop
sdt	số điện thoại
cug	cũng
síp	ship
neu	nếu
hok	không
cũg	cũng
cty	công ty
cmt	comment
xog	xong
đag	đang
bit	biết
mih	mình
mog	mong
nhg	nhưng
mjh	mình
loz	lồn
dag	đang
mjk	mình
bik	biết
đăg	đăng
đúg	đúng
dụg	dụng
vcl	vờ cờ lờ
mìh	mình
qúa	quá
cmm	con mẹ mày
cmn	con mẹ nó
pit	biết
pải	phải
khj	khi
dkm	địt con mẹ
thỳ	thì
nge	nghe
hàq	hàng
dùg	dùng
zậy	vậy
ghn	giao hàng nhanh
dcm	địt con mẹ
ngt	người ta
lzd	lazada
càg	càng
cko	cho
chx	chưa
hỉu	hiểu
ncc	như con cặc
mìk	mình
nta	người ta
đhs	đéo hiểu sao
bjt	bit
wep	web
mng	mọi người
ace	anh chị em
đaq	đang
fải	phải
hàg	hàng
jao	giao
aap	app
hsy	hay
bth	bình thường
gét	ghét
sóp	shop
đừg	đừng
bằg	bằng
vkl	vãi cả lồn
gja	gia
pik	biết
bjk	biết
mịa	mẹ
kug	cũng
del	đéo
tíh	tính
cùg	cùng
hog	hông
luk	lúc
taj	tai
zui	vui
kog	không
tks	thanks
chj	chi
đmm	địt mẹ mày
đky	đăng ký
déo	đéo
trk	trước
trl	trả lời
thk	thanks
tãi	tải
sag	sang
laj	lai
tih	tinh
nsx	nhà sản xuất
đki	đăng ký
côg	công
gjo	gio
dmm	địt mẹ mày
tăg	tăng
đão	đảo
ngĩ	nghĩ
lsf	là
đăq	đăng
cũq	cũng
đjt	địt
đel	đéo
nhx	nhưng
cjo	cho
cuq	cũng
cũn	cũng
phj	phi
từg	từng
tjn	tin
ukm	ừm
đứg	đứng
cũa	của
toj	toi
cag	cang
đáh	đánh
dky	đăng ký
hsd	hạn sử dụng
ytb	youtube
moj	moi
gìơ	giờ
hứq	hứng
nek	nè
đág	đáng
vọg	vọng
wen	quen
sui	xui
mạg	mạng
sml	sấp mặt lờ
nặg	nặng
stk	số tài khoản
kái	cái
hôg	không
năg	năng
huỹ	hủy
dvu	dịch vụ
đúq	đúng
lữa	nữa
lad	là
đóg	đóng
dụq	dụng
đug	đung
cãm	cảm
qué	quá
tổg	tổng
đkí	đăng ký
cữa	cửa
clm	cái lồn mẹ
xoq	xong
soá	xóa
hđh	hệ điều hành
tặg	tặng
đồg	đồng
độg	động
hoy	thôi
lun	luôn
mik	mình
sđt	số điện thoại
trc	trước
rât	rất
rùi	rồi
tôt	tốt
onl	online
mún	muốn
lổi	lỗi
khg	không
rep	trả lời
hcm	hồ chí minh
kiu	kêu
zay	vậy
cặt	cặc
gữi	gửi
nãn	nản
trã	trả
sịn	xịn
lòg	lòng
tot	tốt
rat	rất
vao	vào
nua	nữa
huy	hủy
hag	hàng
chử	chữ
rak	rất
củg	cũng
coa	có
okk	ok
laz	lazada
sốp	shop
som	sớm
xắm	sắm
gất	rất
dõm	dỏm
giử	giữ
thj	thi
oki	ok
gía	giá
băt	bắt
tót	tốt
mói	mới
vói	với
lám	lắm
met	mệt
dổm	dỏm
bân	bận
lắt	lắc
chễ	trễ
okê	ok
rẩt	rất
hìh	hình
đỏi	đổi
ôkê	ok
kỉu	kiểu
xip	ship
dụn	dụng
fai	phải
vag	và
wak	quá
acc	account
ote	được
dỗm	dỏm
ghj	ghi
mxh	mạng xã hội
qài	hoài
gòi	rồi
zùm	dùm
zùi	rồi
zừa	vừa
zởm	dỏm
zỏm	dỏm
zòm	dòm
zốg	giống
zới	với
zồi	rồi
xỷn	xỉn
wúa	quá
wuá	quá
woá	quá
wài	hoài
vòg	vòng
ăpp	app
ápp	app
xứg	xứng
wên	quên
vuj	vui
vùg	vùng
vớj	với
vđề	vấn đề
vaf	và
ttừ	từ
sạo	xạo
tiu	tiêu
căc	cặc
ràg	ràng
hũy	hủy
hàh	hành
cặk	cặc
địh	định
đeó	đéo
đôg	đông
bme	bố mẹ
cta	chúng ta
mqh	mối quan hệ
vch	vãi chưởng
pjt	biết
tìh	tình
rằg	rằng
sốg	sống
kte	kinh tế
gắg	gắng
plz	pờ ly
răg	răng
nkư	như
xih	xinh
zìa	gì
kũg	cũng
kậu	cậu
xug	xùng
cbị	chuẩn bị
kòn	còn
nắg	nắng
kảm	cảm
dàh	dành
júp	giúp
lặg	lặng
vđê	vấn đề
bbè	bạn bè
bóg	bóng
dòg	dòng
uốg	uống
qhe	quan hệ
zám	dám
bìh	bình
lzi	làm gì
qhệ	quan hệ
kủa	của
cka	cha
lgi	làm gì
nèk	nè
bsĩ	bác sĩ
hkì	học kỳ
vde	vấn đề
họk	học
dừg	dừng
lạh	lạnh
fây	phây
lúk	lúc
haj	hai
mớj	mới
hsơ	hồ sơ
kih	kinh
uhm	ừm
nyc	người yêu cũ
nàg	nàng
wtf	what the fuck
chk	chồng
hic	hích
ctr	chương trình
đii	đi
nch	nói chuyện
kêh	kênh
tym	tim
aye	anh yêu em
eya	em yêu anh
lol	lồn
chs	chẳng hiểu sao
ntn	như thế nào
vcđ	vãi cả đái
in4	info
sub	subcribe
hjx	hix
đbh	đéo bao giờ
unf	unfriend
fen	friend
quí	quý
tđn	thế đéo nào
klq	không liên quan
ctv	cộng tác viên
cóa	có
cẹc	cặc
djt	địt
dki	đăng ký
lag	đơ
đm	địt mẹ
ms	mới
sd	sử dụng
qc	quảng cáo
ae	anh em
ns	nói
vl	vãi lồn
dm	địt mẹ
km	khuyến mãi
mh	mình
zô	dô
ib	inbox
jo	giờ
iu	yêu
wá	quá
cg	cũng
ud	ứng dụng
dv	dịch vụ
xl	xin lỗi
ứg	ứng
đx	được
fs	free ship
dx	được
uk	ừ
kb	kết bạn
gj	gi
ug	ứng
dg	đang
ưd	ứng dụng
gê	ghê
yc	yêu cầu
sf	sản phẩm
aj	ai
hj	hi
ưg	ưng
ứq	ứng
ủg	ủng
vs	với
mn	mọi người
wa	quá
dc	được
sp	sản phẩm
kg	không
ng	người
hk	không
cx	cũng
fb	facebook
nx	nữa
éo	đéo
qá	quá
ji	gì
đg	đang
kô	không
ko	không
đc	được
gi	gì
